event_id,event_name,event_date,url_link
192,UFC Fight Night: Poirier vs. Hooker,2020-06-27,http://www.ufcstats.com/event-details/c32eab6c2119e989
193,UFC Fight Night: Blaydes vs. Volkov,2020-06-20,http://www.ufcstats.com/event-details/2eab7a6c8b0ed8cc
194,UFC Fight Night: Eye vs. Calvillo,2020-06-13,http://www.ufcstats.com/event-details/1e13936d708bcff7
195,UFC 250: Nunes vs. Spencer,2020-06-06,http://www.ufcstats.com/event-details/4c12aa7ca246e7a4
196,UFC Fight Night: Woodley vs. Burns,2020-05-30,http://www.ufcstats.com/event-details/14b9e0f2679a2205
197,UFC Fight Night: Overeem vs. Harris,2020-05-16,http://www.ufcstats.com/event-details/dfb965c9824425db
198,UFC Fight Night: Smith vs. Teixeira,2020-05-13,http://www.ufcstats.com/event-details/5f8e00c27b7e7410
199,UFC 249: Ferguson vs. Gaethje,2020-05-09,http://www.ufcstats.com/event-details/898337ef520fe4d3
200,UFC Fight Night: Lee vs. Oliveira,2020-03-14,http://www.ufcstats.com/event-details/53278852bcd91e11
201,UFC 248: Adesanya vs. Romero,2020-03-07,http://www.ufcstats.com/event-details/0b5b6876c2a4723f
202,UFC Fight Night: Benavidez vs. Figueiredo,2020-02-29,http://www.ufcstats.com/event-details/fc9a9559a05f2704
203,UFC Fight Night: Felder vs. Hooker,2020-02-22,http://www.ufcstats.com/event-details/33b2f68ef95252e0
204,UFC Fight Night: Anderson vs. Blachowicz,2020-02-15,http://www.ufcstats.com/event-details/5df17b3620145578
205,UFC 247: Jones vs. Reyes,2020-02-08,http://www.ufcstats.com/event-details/b26d3e3746fb4024
206,UFC Fight Night: Blaydes vs. Dos Santos,2020-01-25,http://www.ufcstats.com/event-details/44aa652b181bcf68
207,UFC 246: McGregor vs. Cowboy,2020-01-18,http://www.ufcstats.com/event-details/0c1773639c795466
208,UFC Fight Night: Edgar vs. The Korean Zombie,2019-12-21,http://www.ufcstats.com/event-details/74fefd43f073cd2f
209,UFC 245: Usman vs. Covington,2019-12-14,http://www.ufcstats.com/event-details/4565d435005319c0
210,UFC Fight Night: Overeem vs. Rozenstruik,2019-12-07,http://www.ufcstats.com/event-details/b09890ba7ce1d1e2
211,UFC Fight Night: Blachowicz vs. Jacare,2019-11-16,http://www.ufcstats.com/event-details/81ca2c245b19b3c5
212,UFC Fight Night: Zabit vs. Kattar,2019-11-09,http://www.ufcstats.com/event-details/8d5daf67983b65ba
213,UFC 244: Masvidal vs. Diaz,2019-11-02,http://www.ufcstats.com/event-details/fd87b1bbfcde9d5e
214,UFC Fight Night: Maia vs. Askren,2019-10-26,http://www.ufcstats.com/event-details/df05aa15b2d66f57
215,UFC Fight Night: Reyes vs. Weidman,2019-10-18,http://www.ufcstats.com/event-details/3ae10ac4df3df05c
216,UFC Fight Night: Joanna vs. Waterson,2019-10-12,http://www.ufcstats.com/event-details/0941df56f6ac954b
217,UFC 243: Whittaker vs. Adesanya,2019-10-05,http://www.ufcstats.com/event-details/3cf68c1d17f66af7
218,UFC Fight Night: Hermansson vs. Cannonier,2019-09-28,http://www.ufcstats.com/event-details/1bf49bf829964144
219,UFC Fight Night: Rodriguez vs. Stephens,2019-09-21,http://www.ufcstats.com/event-details/94a5aaf573f780ad
220,UFC Fight Night: Cowboy vs. Gaethje,2019-09-14,http://www.ufcstats.com/event-details/4834ff149dc9542a
221,UFC 242: Khabib vs. Poirier,2019-09-07,http://www.ufcstats.com/event-details/a79bfbc01b2264d6
222,UFC Fight Night: Andrade vs. Zhang,2019-08-31,http://www.ufcstats.com/event-details/2c104b7e59a72629
223,UFC 241: Cormier vs. Miocic 2,2019-08-17,http://www.ufcstats.com/event-details/70167689d6a01793
224,UFC Fight Night: Shevchenko vs. Carmouche 2,2019-08-10,http://www.ufcstats.com/event-details/e5d03e4d966126bd
225,UFC Fight Night: Covington vs. Lawler,2019-08-03,http://www.ufcstats.com/event-details/03da33a102d9a45f
226,UFC 240: Holloway vs. Edgar,2019-07-27,http://www.ufcstats.com/event-details/abcf7e55a0a9ed89
227,UFC Fight Night: Dos Anjos vs. Edwards,2019-07-20,http://www.ufcstats.com/event-details/9e0f28d1f639ad73
228,UFC Fight Night: De Randamie vs. Ladd,2019-07-13,http://www.ufcstats.com/event-details/2f8f3c69522db931
229,UFC 239: Jones vs. Santos,2019-07-06,http://www.ufcstats.com/event-details/6c9383ffab2725a5
230,UFC Fight Night: Ngannou vs. Dos Santos,2019-06-29,http://www.ufcstats.com/event-details/c0c1bc0766df4c00
231,UFC Fight Night: Moicano vs. The Korean Zombie,2019-06-22,http://www.ufcstats.com/event-details/b16a7e6a627e9789
232,UFC 238: Cejudo vs. Moraes,2019-06-08,http://www.ufcstats.com/event-details/e31502e3f79d00c5
233,UFC Fight Night: Gustafsson vs. Smith,2019-06-01,http://www.ufcstats.com/event-details/cbc071cb20ea59c7
234,UFC Fight Night: Dos Anjos vs. Lee,2019-05-18,http://www.ufcstats.com/event-details/6b8f28da9a483049
235,UFC 237: Namajunas vs. Andrade,2019-05-11,http://www.ufcstats.com/event-details/9de7c97e1c0d7927
236,UFC Fight Night: Iaquinta vs. Cowboy,2019-05-04,http://www.ufcstats.com/event-details/351264d11286d09a
237,UFC Fight Night: Jacare vs. Hermansson,2019-04-27,http://www.ufcstats.com/event-details/c912f676692c353a
238,UFC Fight Night: Overeem vs. Oleinik,2019-04-20,http://www.ufcstats.com/event-details/7dcf06c1967801c1
239,UFC 236: Holloway vs. Poirier 2,2019-04-13,http://www.ufcstats.com/event-details/b0550072e5f0afa7
240,UFC Fight Night: Barboza vs. Gaethje,2019-03-30,http://www.ufcstats.com/event-details/9649d75defe0dedb
241,UFC Fight Night: Thompson vs. Pettis,2019-03-23,http://www.ufcstats.com/event-details/487c170da059857d
